PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35010408,Ontario,235,3,-0.421,4,0.443,1,-1.102,5,5.323
35010409,Ontario,191,3,-0.113,2,-0.749,1,-1.162,2,-0.399
35010410,Ontario,312,2,-0.673,3,-0.203,1,-0.860,4,0.395
35020064,Ontario,1046,2,-0.574,2,-0.366,2,-0.721,2,-0.390
35020065,Ontario,569,1,-0.854,4,0.157,1,-0.926,1,-0.718
35020066,Ontario,804,4,0.238,5,0.752,2,-0.765,2,-0.437
35020067,Ontario,512,5,1.142,3,-0.082,2,-0.683,5,0.672
35020068,Ontario,445,5,0.857,4,0.370,2,-0.622,5,0.848
35020069,Ontario,572,5,0.949,5,0.854,2,-0.776,5,0.957
35020070,Ontario,549,3,-0.399,2,-0.422,2,-0.722,3,-0.226
35020071,Ontario,436,4,0.396,4,0.579,1,-0.834,3,-0.216
35020072,Ontario,560,2,-0.696,1,-0.997,2,-0.715,3,-0.123
35020073,Ontario,1276,1,-0.812,1,-0.906,1,-0.780,2,-0.544
35020075,Ontario,628,4,0.042,2,-0.758,2,-0.596,3,-0.177
35020076,Ontario,622,4,0.026,5,0.707,1,-0.835,3,-0.336
35020077,Ontario,571,5,1.067,5,2.678,1,-0.897,2,-0.622
35020078,Ontario,826,2,-0.561,3,-0.259,2,-0.770,1,-0.785
35020091,Ontario,3107,3,-0.213,1,-0.995,2,-0.701,1,-0.727
35020092,Ontario,877,1,-0.825,4,0.304,1,-0.903,2,-0.380
35020093,Ontario,867,2,-0.772,2,-0.337,1,-0.878,2,-0.358
35020094,Ontario,565,4,0.109,3,-0.106,2,-0.606,4,0.068
35020095,Ontario,546,4,0.743,5,1.149,2,-0.697,3,-0.111
35020096,Ontario,543,1,-0.891,5,1.278,1,-0.832,3,-0.035
35020097,Ontario,460,2,-0.622,2,-0.584,1,-0.873,4,0.195
35020098,Ontario,414,1,-0.986,5,1.481,1,-0.851,4,0.406
35020099,Ontario,519,4,0.161,3,0.077,3,-0.487,5,1.128
35020100,Ontario,530,3,-0.183,5,0.810,1,-0.822,3,-0.077
35020101,Ontario,711,3,-0.308,2,-0.745,1,-0.846,3,-0.211
35020102,Ontario,755,3,-0.469,5,1.135,1,-0.809,4,0.045
35020103,Ontario,444,4,0.013,4,0.091,1,-0.933,4,0.114
35020104,Ontario,714,4,0.005,4,0.563,2,-0.745,4,0.390
35020105,Ontario,652,2,-0.671,2,-0.371,1,-0.821,3,-0.097
35020106,Ontario,666,2,-0.553,2,-0.663,1,-0.904,3,-0.028
35020107,Ontario,654,2,-0.730,3,-0.302,1,-0.851,3,-0.086
35020108,Ontario,1729,4,0.132,2,-0.404,1,-0.972,4,0.173
35020109,Ontario,1140,2,-0.611,3,0.018,1,-0.902,3,-0.006
35020110,Ontario,1113,2,-0.767,1,-0.949,1,-0.943,2,-0.414
35020111,Ontario,766,2,-0.635,3,-0.296,1,-0.807,4,0.215
35020112,Ontario,755,1,-0.924,1,-0.923,1,-0.967,4,0.061
